nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19116201,756102,America
Colombia,51874024,1141748,America
Mexico,128932753,1964375,America
Peru,33359418,1285216,America
Uruguay,3473727,176215,America
Paraguay,7353038,406752,America
Alemania,83149300,357022,Europa
Francia,67874000,551695,Europa
España,47431256,505990,Europa
Italia,59554023,301340,Europa
Portugal,10347892,92212,Europa
China,1412600000,9596960,Asia
Japon,125800000,377975,Asia
India,1380004385,3287263,Asia
Australia,25687041,7692024,Oceania
Nigeria,211400708,923768,Africa
Egipto,102334404,1002450,Africa
Sudafrica,59308690,1219090,Africa
